corridor,product,pathway,production_cost_eur_per_tonne,conversion_cost_eur_per_tonne,shipping_cost_eur_per_tonne,source
halifax_hamburg,hydrogen,green_electrolysis,4000.0,1200.0,800.0,"PLACEHOLDER - no owner assigned, see data/README.md"
halifax_hamburg,hydrogen,grey_smr,1500.0,1200.0,800.0,"PLACEHOLDER - no owner assigned, see data/README.md"
halifax_hamburg,hydrogen,blue_smr_ccs,2200.0,1200.0,800.0,"PLACEHOLDER - no owner assigned, see data/README.md"
halifax_hamburg,hydrogen,cbam_default,1500.0,1200.0,800.0,"PLACEHOLDER - no owner assigned, see data/README.md"
ningbo_felixstowe,hydrogen,green_electrolysis,4000.0,1200.0,1400.0,"PLACEHOLDER - no owner assigned, see data/README.md"
ningbo_felixstowe,hydrogen,coal_gasification,1300.0,1200.0,1400.0,"PLACEHOLDER - no owner assigned, see data/README.md"
ningbo_felixstowe,hydrogen,blue_ccs,2200.0,1200.0,1400.0,"PLACEHOLDER - no owner assigned, see data/README.md"
ningbo_felixstowe,hydrogen,cbam_default,1500.0,1200.0,1400.0,"PLACEHOLDER - no owner assigned, see data/README.md"
halifax_hamburg,ammonia,grey_smr,350.0,150.0,120.0,"PLACEHOLDER - no owner assigned, see data/README.md"
halifax_hamburg,ammonia,green_electrolysis,700.0,150.0,120.0,"PLACEHOLDER - no owner assigned, see data/README.md"
halifax_hamburg,ammonia,cbam_default,350.0,150.0,120.0,"PLACEHOLDER - no owner assigned, see data/README.md"
ningbo_felixstowe,ammonia,coal_gasification,300.0,150.0,210.0,"PLACEHOLDER - no owner assigned, see data/README.md"
ningbo_felixstowe,ammonia,green_electrolysis,700.0,150.0,210.0,"PLACEHOLDER - no owner assigned, see data/README.md"
ningbo_felixstowe,ammonia,cbam_default,350.0,150.0,210.0,"PLACEHOLDER - no owner assigned, see data/README.md"
