corridor,product,pathway,year,price_scenario,embedded_emissions_tco2e_per_tonne,uk_price_variant,eu_cbam_cost_eur_per_tonne,uk_cbam_cost_gbp_per_tonne
halifax_hamburg,hydrogen,green_electrolysis,2026,low,1.23,n/a,0.3299474999999999,0.0
halifax_hamburg,hydrogen,green_electrolysis,2026,medium,1.23,n/a,0.6374475,0.0
halifax_hamburg,hydrogen,green_electrolysis,2026,high,1.23,n/a,0.9449474999999999,0.0
halifax_hamburg,hydrogen,green_electrolysis,2027,low,1.23,n/a,0.6217649999999999,0.0
halifax_hamburg,hydrogen,green_electrolysis,2027,medium,1.23,n/a,1.790265,0.0
halifax_hamburg,hydrogen,green_electrolysis,2027,high,1.23,n/a,2.5743899999999997,0.0
halifax_hamburg,hydrogen,green_electrolysis,2028,low,1.23,n/a,1.55103,0.0
halifax_hamburg,hydrogen,green_electrolysis,2028,medium,1.23,n/a,4.99503,0.0
halifax_hamburg,hydrogen,green_electrolysis,2028,high,1.23,n/a,6.90153,0.0
halifax_hamburg,hydrogen,green_electrolysis,2029,low,1.23,n/a,4.1816925,0.0
halifax_hamburg,hydrogen,green_electrolysis,2029,medium,1.23,n/a,14.4214425,0.0
halifax_hamburg,hydrogen,green_electrolysis,2029,high,1.23,n/a,19.47213,0.0
halifax_hamburg,hydrogen,green_electrolysis,2030,low,1.23,n/a,4.9215375,0.0
halifax_hamburg,hydrogen,green_electrolysis,2030,medium,1.23,n/a,32.362837500000005,0.0
halifax_hamburg,hydrogen,green_electrolysis,2030,high,1.23,n/a,44.8903875,0.0
halifax_hamburg,hydrogen,grey_smr,2026,low,10.07,n/a,2.7012774999999993,0.0
halifax_hamburg,hydrogen,grey_smr,2026,medium,10.07,n/a,5.2187775,0.0
halifax_hamburg,hydrogen,grey_smr,2026,high,10.07,n/a,7.7362775,0.0
halifax_hamburg,hydrogen,grey_smr,2027,low,10.07,n/a,5.090385,0.0
halifax_hamburg,hydrogen,grey_smr,2027,medium,10.07,n/a,14.656885,0.0
halifax_hamburg,hydrogen,grey_smr,2027,high,10.07,n/a,21.076510000000003,0.0
halifax_hamburg,hydrogen,grey_smr,2028,low,10.07,n/a,12.69827,0.0
halifax_hamburg,hydrogen,grey_smr,2028,medium,10.07,n/a,40.894270000000006,0.0
halifax_hamburg,hydrogen,grey_smr,2028,high,10.07,n/a,56.502770000000005,0.0
halifax_hamburg,hydrogen,grey_smr,2029,low,10.07,n/a,34.2354825,0.0
halifax_hamburg,hydrogen,grey_smr,2029,medium,10.07,n/a,118.06823250000001,0.0
halifax_hamburg,hydrogen,grey_smr,2029,high,10.07,n/a,159.41817,0.0
halifax_hamburg,hydrogen,grey_smr,2030,low,10.07,n/a,40.292587499999996,0.0
halifax_hamburg,hydrogen,grey_smr,2030,medium,10.07,n/a,264.95428749999996,0.0
halifax_hamburg,hydrogen,grey_smr,2030,high,10.07,n/a,367.51723749999996,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2026,low,2.02,n/a,0.5418649999999999,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2026,medium,2.02,n/a,1.046865,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2026,high,2.02,n/a,1.551865,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2027,low,2.02,n/a,1.02111,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2027,medium,2.02,n/a,2.9401100000000002,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2027,high,2.02,n/a,4.227860000000001,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2028,low,2.02,n/a,2.5472200000000003,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2028,medium,2.02,n/a,8.20322,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2028,high,2.02,n/a,11.33422,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2029,low,2.02,n/a,6.867495,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2029,medium,2.02,n/a,23.683995,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2029,high,2.02,n/a,31.97862,0.0
