corridor,product,pathway,year,price_scenario,embedded_emissions_tco2e_per_tonne,benchmark_tco2e_per_tonne,benchmark_source,cscf,cscf_is_sourced,cleaner_than_benchmark,factor_scaled_eur_per_tonne,benchmark_shielded_eur_per_tonne,difference_eur_per_tonne,ratio
halifax_hamburg,hydrogen,green_electrolysis,2026,medium,1.23,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,0.64,0.0,-0.64,0.0
halifax_hamburg,hydrogen,green_electrolysis,2027,medium,1.23,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,1.79,0.0,-1.79,0.0
halifax_hamburg,hydrogen,green_electrolysis,2028,medium,1.23,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,5.0,0.0,-5.0,0.0
halifax_hamburg,hydrogen,green_electrolysis,2029,medium,1.23,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,14.42,0.0,-14.42,0.0
halifax_hamburg,hydrogen,green_electrolysis,2030,medium,1.23,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,32.36,0.0,-32.36,0.0
halifax_hamburg,hydrogen,grey_smr,2026,medium,10.07,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,5.22,105.89,100.67,20.291
halifax_hamburg,hydrogen,grey_smr,2027,medium,10.07,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,14.66,152.4,137.75,10.398
halifax_hamburg,hydrogen,grey_smr,2028,medium,10.07,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,40.89,222.94,182.05,5.452
halifax_hamburg,hydrogen,grey_smr,2029,medium,10.07,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,118.07,319.23,201.16,2.704
halifax_hamburg,hydrogen,grey_smr,2030,medium,10.07,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,264.95,404.12,139.16,1.525
halifax_hamburg,hydrogen,blue_smr_ccs,2026,medium,2.02,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,1.05,0.0,-1.05,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2027,medium,2.02,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,2.94,0.0,-2.94,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2028,medium,2.02,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,8.2,0.0,-8.2,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2029,medium,2.02,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,23.68,0.0,-23.68,0.0
halifax_hamburg,hydrogen,blue_smr_ccs,2030,medium,2.02,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,53.15,0.0,-53.15,0.0
halifax_hamburg,hydrogen,cbam_default,2026,medium,10.82,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,6.17,143.87,137.7,23.325
halifax_hamburg,hydrogen,cbam_default,2027,medium,10.82,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,18.9,237.23,218.33,12.553
halifax_hamburg,hydrogen,cbam_default,2028,medium,10.82,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,57.12,385.22,328.1,6.744
halifax_hamburg,hydrogen,cbam_default,2029,medium,10.82,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,164.92,527.46,362.54,3.198
halifax_hamburg,hydrogen,cbam_default,2030,medium,10.82,5.089,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,370.09,620.9,250.81,1.678
halifax_hamburg,ammonia,grey_smr,2026,medium,2.18,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,1.13,14.43,13.3,12.772
halifax_hamburg,ammonia,grey_smr,2027,medium,2.18,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,3.17,21.37,18.2,6.735
halifax_hamburg,ammonia,grey_smr,2028,medium,2.18,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,8.85,32.9,24.05,3.717
halifax_hamburg,ammonia,grey_smr,2029,medium,2.18,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,25.56,52.13,26.57,2.04
halifax_hamburg,ammonia,grey_smr,2030,medium,2.18,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,57.36,75.74,18.38,1.321
halifax_hamburg,ammonia,green_electrolysis,2026,medium,0.62,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,0.32,0.0,-0.32,0.0
halifax_hamburg,ammonia,green_electrolysis,2027,medium,0.62,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,0.9,0.0,-0.9,0.0
halifax_hamburg,ammonia,green_electrolysis,2028,medium,0.62,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,2.52,0.0,-2.52,0.0
halifax_hamburg,ammonia,green_electrolysis,2029,medium,0.62,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,7.27,0.0,-7.27,0.0
halifax_hamburg,ammonia,green_electrolysis,2030,medium,0.62,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,True,16.31,0.0,-16.31,0.0
halifax_hamburg,ammonia,cbam_default,2026,medium,1.98,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,1.04,10.69,9.66,10.318
halifax_hamburg,ammonia,cbam_default,2027,medium,1.98,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,2.91,16.12,13.21,5.54
halifax_hamburg,ammonia,cbam_default,2028,medium,1.98,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,8.12,25.58,17.46,3.15
halifax_hamburg,ammonia,cbam_default,2029,medium,1.98,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,23.45,42.74,19.3,1.823
halifax_hamburg,ammonia,cbam_default,2030,medium,1.98,1.522,"Commission Implementing Regulation (EU) 2025/2620, Annex point 5.3",1.0,False,False,52.62,65.97,13.35,1.254
