product,pathway,price_scenario,year,halifax_hamburg_burden_pct,ningbo_felixstowe_burden_pct,gap_percentage_points,relative_margin_pct,more_exposed_corridor,asymmetry_verdict,value_basis
ammonia,cbam_default,medium,2026,2.62,0.01,2.61,198.48,halifax_hamburg,clear,production_cost
ammonia,cbam_default,medium,2027,3.86,9.51,-5.65,84.52,ningbo_felixstowe,clear,production_cost
ammonia,cbam_default,medium,2028,6.0,10.82,-4.82,57.31,ningbo_felixstowe,clear,production_cost
ammonia,cbam_default,medium,2029,9.87,13.44,-3.57,30.63,ningbo_felixstowe,clear,production_cost
ammonia,cbam_default,medium,2030,15.22,20.0,-4.78,27.14,ningbo_felixstowe,clear,production_cost
hydrogen,cbam_default,medium,2026,15.5,0.05,15.45,198.71,halifax_hamburg,clear,production_cost
hydrogen,cbam_default,medium,2027,27.37,20.52,6.85,28.61,halifax_hamburg,clear,production_cost
hydrogen,cbam_default,medium,2028,47.44,23.34,24.1,68.1,halifax_hamburg,clear,production_cost
hydrogen,cbam_default,medium,2029,68.96,29.0,39.96,81.58,halifax_hamburg,clear,production_cost
hydrogen,cbam_default,medium,2030,91.12,43.12,48.0,71.51,halifax_hamburg,clear,production_cost
