product,year,halifax_hamburg_gbp_equivalent,ningbo_felixstowe_gbp_equivalent,cost_gap_gbp,cheaper_corridor,corridors_tied,pathway,price_scenario
ammonia,2026,9.99,0.05,-9.94,ningbo_felixstowe,False,cbam_default,medium
ammonia,2027,14.72,33.8,19.08,halifax_hamburg,False,cbam_default,medium
ammonia,2028,22.89,38.46,15.57,halifax_hamburg,False,cbam_default,medium
ammonia,2029,37.62,47.77,10.15,halifax_hamburg,False,cbam_default,medium
ammonia,2030,58.03,71.07,13.04,halifax_hamburg,False,cbam_default,medium
hydrogen,2026,131.11,0.5,-130.61,ningbo_felixstowe,False,cbam_default,medium
hydrogen,2027,211.68,206.7,-4.98,ningbo_felixstowe,False,cbam_default,medium
hydrogen,2028,338.87,235.16,-103.71,ningbo_felixstowe,False,cbam_default,medium
hydrogen,2029,461.15,292.09,-169.06,ningbo_felixstowe,False,cbam_default,medium
hydrogen,2030,546.63,434.41,-112.22,ningbo_felixstowe,False,cbam_default,medium
