product,pathway,price_scenario,decision_year,tenor_years,years_evaluated,discount_rate,beyond_horizon,spot_cost_gap_gbp_per_tonne,myopic_choice,committed_choice,decision_reverses,pv_halifax_hamburg_gbp_per_tonne_annual_volume,pv_ningbo_felixstowe_gbp_per_tonne_annual_volume,breakeven_switching_cost_gbp_per_tonne_annual_volume,lock_in_regret_pct
ammonia,cbam_default,medium,2026,10,5,0.08,truncate,-34.98,ningbo_felixstowe,ningbo_felixstowe,False,276.34,154.48,0.0,0.0
ammonia,cbam_default,medium,2027,10,4,0.08,truncate,-8.93,ningbo_felixstowe,ningbo_felixstowe,False,260.61,166.78,0.0,0.0
ammonia,cbam_default,medium,2028,10,3,0.08,truncate,-15.95,ningbo_felixstowe,ningbo_felixstowe,False,235.32,143.62,0.0,0.0
ammonia,cbam_default,medium,2029,10,2,0.08,truncate,-30.46,ningbo_felixstowe,ningbo_felixstowe,False,195.38,113.58,0.0,0.0
ammonia,cbam_default,medium,2030,10,1,0.08,truncate,-55.45,ningbo_felixstowe,ningbo_felixstowe,False,126.52,71.07,0.0,0.0
hydrogen,cbam_default,medium,2026,10,5,0.08,truncate,-467.53,ningbo_felixstowe,ningbo_felixstowe,False,3382.47,944.68,0.0,0.0
hydrogen,cbam_default,medium,2027,10,4,0.08,truncate,-417.08,ningbo_felixstowe,ningbo_felixstowe,False,3147.59,1019.71,0.0,0.0
hydrogen,cbam_default,medium,2028,10,3,0.08,truncate,-578.37,ningbo_felixstowe,ningbo_felixstowe,False,2725.72,878.05,0.0,0.0
hydrogen,cbam_default,medium,2029,10,2,0.08,truncate,-670.11,ningbo_felixstowe,ningbo_felixstowe,False,2065.16,694.32,0.0,0.0
hydrogen,cbam_default,medium,2030,10,1,0.08,truncate,-756.79,ningbo_felixstowe,ningbo_felixstowe,False,1191.2,434.41,0.0,0.0
ammonia,cbam_default,medium,2026,10,10,0.08,hold_final,-34.98,ningbo_felixstowe,ningbo_felixstowe,False,647.65,363.05,0.0,0.0
ammonia,cbam_default,medium,2027,10,10,0.08,hold_final,-8.93,ningbo_felixstowe,ningbo_felixstowe,False,724.92,427.6,0.0,0.0
ammonia,cbam_default,medium,2028,10,10,0.08,hold_final,-15.95,ningbo_felixstowe,ningbo_felixstowe,False,800.05,460.85,0.0,0.0
ammonia,cbam_default,medium,2029,10,10,0.08,hold_final,-30.46,ningbo_felixstowe,ningbo_felixstowe,False,868.59,491.74,0.0,0.0
ammonia,cbam_default,medium,2030,10,10,0.08,hold_final,-55.45,ningbo_felixstowe,ningbo_felixstowe,False,916.88,515.04,0.0,0.0
hydrogen,cbam_default,medium,2026,10,10,0.08,hold_final,-467.53,ningbo_felixstowe,ningbo_felixstowe,False,6878.36,2219.57,0.0,0.0
hydrogen,cbam_default,medium,2027,10,10,0.08,hold_final,-417.08,ningbo_felixstowe,ningbo_felixstowe,False,7519.05,2613.9,0.0,0.0
hydrogen,cbam_default,medium,2028,10,10,0.08,hold_final,-578.37,ningbo_felixstowe,ningbo_felixstowe,False,8042.79,2817.09,0.0,0.0
hydrogen,cbam_default,medium,2029,10,10,0.08,hold_final,-670.11,ningbo_felixstowe,ningbo_felixstowe,False,8403.49,3005.8,0.0,0.0
hydrogen,cbam_default,medium,2030,10,10,0.08,hold_final,-756.79,ningbo_felixstowe,ningbo_felixstowe,False,8632.49,3148.12,0.0,0.0
