product,pathway,price_scenario,decision_year,tenor_years,years_evaluated,discount_rate,beyond_horizon,spot_cost_gap_gbp_per_tonne,myopic_choice,committed_choice,decision_reverses,pv_halifax_hamburg_gbp_per_tonne_annual_volume,pv_ningbo_felixstowe_gbp_per_tonne_annual_volume,breakeven_switching_cost_gbp_per_tonne_annual_volume,lock_in_regret_pct,uk_price_variant,uk_price_variant_label
ammonia,cbam_default,low,2026,10,5,0.08,truncate,-30.51,ningbo_felixstowe,ningbo_felixstowe,False,194.13,125.05,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,low,2027,10,4,0.08,truncate,-6.23,ningbo_felixstowe,ningbo_felixstowe,False,176.66,135.02,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,low,2028,10,3,0.08,truncate,-8.0,ningbo_felixstowe,ningbo_felixstowe,False,154.52,116.27,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,low,2029,10,2,0.08,truncate,-13.34,ningbo_felixstowe,ningbo_felixstowe,False,124.62,91.95,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,low,2030,10,1,0.08,truncate,-20.88,ningbo_felixstowe,ningbo_felixstowe,False,78.41,57.53,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,low,2026,10,5,0.08,truncate,-407.6,ningbo_felixstowe,ningbo_felixstowe,False,2413.63,764.78,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,low,2027,10,4,0.08,truncate,-322.81,ningbo_felixstowe,ningbo_felixstowe,False,2166.07,825.52,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,low,2028,10,3,0.08,truncate,-394.3,ningbo_felixstowe,ningbo_felixstowe,False,1809.99,710.83,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,low,2029,10,2,0.08,truncate,-403.24,ningbo_felixstowe,ningbo_felixstowe,False,1323.34,562.09,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,low,2030,10,1,0.08,truncate,-386.65,ningbo_felixstowe,ningbo_felixstowe,False,738.33,351.68,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,low,2026,10,10,0.08,hold_final,-30.51,ningbo_felixstowe,ningbo_felixstowe,False,424.24,293.89,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,low,2027,10,10,0.08,hold_final,-6.23,ningbo_felixstowe,ningbo_felixstowe,False,464.41,346.14,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,low,2028,10,10,0.08,hold_final,-8.0,ningbo_felixstowe,ningbo_felixstowe,False,504.51,373.06,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,low,2029,10,10,0.08,hold_final,-13.34,ningbo_felixstowe,ningbo_felixstowe,False,541.84,398.06,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,low,2030,10,10,0.08,hold_final,-20.88,ningbo_felixstowe,ningbo_felixstowe,False,568.23,416.91,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
