product,year,halifax_hamburg_gbp_equivalent,ningbo_felixstowe_gbp_equivalent,cost_gap_gbp,cheaper_corridor,corridors_tied,pathway,price_scenario,cbam_mechanism,is_base_case_mechanism
ammonia,2026,4.18,0.05,-4.13,ningbo_felixstowe,False,cbam_default,medium,factor_scaled,False
ammonia,2027,8.5,33.8,25.3,halifax_hamburg,False,cbam_default,medium,factor_scaled,False
ammonia,2028,18.0,38.46,20.46,halifax_hamburg,False,cbam_default,medium,factor_scaled,False
ammonia,2029,43.43,47.77,4.34,halifax_hamburg,False,cbam_default,medium,factor_scaled,False
ammonia,2030,101.27,71.07,-30.2,ningbo_felixstowe,False,cbam_default,medium,factor_scaled,False
hydrogen,2026,28.07,0.5,-27.57,ningbo_felixstowe,False,cbam_default,medium,factor_scaled,False
hydrogen,2027,58.24,206.7,148.46,halifax_hamburg,False,cbam_default,medium,factor_scaled,False
hydrogen,2028,129.33,235.16,105.83,halifax_hamburg,False,cbam_default,medium,factor_scaled,False
hydrogen,2029,308.5,292.09,-16.41,ningbo_felixstowe,False,cbam_default,medium,factor_scaled,False
hydrogen,2030,716.85,434.41,-282.44,ningbo_felixstowe,False,cbam_default,medium,factor_scaled,False
ammonia,2026,35.03,0.05,-34.98,ningbo_felixstowe,False,cbam_default,medium,benchmark_shielded,True
ammonia,2027,42.73,33.8,-8.93,ningbo_felixstowe,False,cbam_default,medium,benchmark_shielded,True
ammonia,2028,54.41,38.46,-15.95,ningbo_felixstowe,False,cbam_default,medium,benchmark_shielded,True
ammonia,2029,78.23,47.77,-30.46,ningbo_felixstowe,False,cbam_default,medium,benchmark_shielded,True
ammonia,2030,126.52,71.07,-55.45,ningbo_felixstowe,False,cbam_default,medium,benchmark_shielded,True
hydrogen,2026,468.03,0.5,-467.53,ningbo_felixstowe,False,cbam_default,medium,benchmark_shielded,True
hydrogen,2027,623.78,206.7,-417.08,ningbo_felixstowe,False,cbam_default,medium,benchmark_shielded,True
hydrogen,2028,813.53,235.16,-578.37,ningbo_felixstowe,False,cbam_default,medium,benchmark_shielded,True
hydrogen,2029,962.2,292.09,-670.11,ningbo_felixstowe,False,cbam_default,medium,benchmark_shielded,True
hydrogen,2030,1191.2,434.41,-756.79,ningbo_felixstowe,False,cbam_default,medium,benchmark_shielded,True
