corridor,vessel_set,vessel_class,route_scenario,speed_scenario,year,price_scenario,uk_ets_variant,uk_price_variant,bunker_fuel,voyage_co2_t,currency,cost_in_own_currency,effective_cost_per_tonne_co2,effective_cost_per_tonne_co2_gbp
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2026,low,n/a,n/a,conventional,1236.1,EUR,59077.97797356822,47.79384999075174,40.776604177794994
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2026,low,n/a,n/a,green_rfnbo,1236.1,EUR,43939.0,35.54647682226357,30.327429482602504
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2026,medium,n/a,n/a,conventional,1236.1,EUR,65354.97797356822,52.87191810821796,45.10909410388106
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2026,medium,n/a,n/a,green_rfnbo,1236.1,EUR,50216.0,40.6245449397298,34.65991940868858
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2026,high,n/a,n/a,conventional,1236.1,EUR,71631.97797356822,57.94998622568419,49.441584029967146
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2026,high,n/a,n/a,green_rfnbo,1236.1,EUR,56493.00000000001,45.70261305719603,38.992409334774656
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2027,low,n/a,n/a,conventional,1236.1,EUR,60647.22797356822,49.06336702011829,41.85972665931651
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2027,low,n/a,n/a,green_rfnbo,1236.1,EUR,45508.25,36.81599385163013,31.410551964124025
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2027,medium,n/a,n/a,conventional,1236.1,EUR,72573.52797356821,58.71169644330411,50.09145751888004
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2027,medium,n/a,n/a,green_rfnbo,1236.1,EUR,57434.55,46.46432327481596,39.642282823687566
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,lower,2027,high,n/a,n/a,conventional,1236.1,EUR,80576.70297356823,65.18623329307357,55.615382174639805
