corridor,vessel_set,route_scenario,speed_scenario,year,price_scenario,uk_ets_variant,distance_nm,voyage_days,voyage_co2_t,port_co2_t,voyage_co2e_t,port_co2e_t,uk_price_variant,bunker_fuel,eu_ets_cost_eur,fueleu_cost_eur,uk_ets_cost_gbp,total_eur,total_gbp
halifax_hamburg,VLGC/VLAC,suez,lower,2026,low,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,43939.0,15138.977973568217,0.0,59077.97797356822,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2026,low,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,43939.0,0.0,0.0,43939.0,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2026,medium,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,50216.0,15138.977973568217,0.0,65354.97797356822,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2026,medium,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,50216.0,0.0,0.0,50216.0,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2026,high,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,56493.00000000001,15138.977973568217,0.0,71631.97797356822,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2026,high,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,56493.00000000001,0.0,0.0,56493.00000000001,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2027,low,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,45508.25,15138.977973568217,0.0,60647.22797356822,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2027,low,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,45508.25,0.0,0.0,45508.25,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2027,medium,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,57434.55,15138.977973568217,0.0,72573.52797356821,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2027,medium,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,57434.55,0.0,0.0,57434.55,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2027,high,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,65437.725000000006,15138.977973568217,0.0,80576.70297356823,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2027,high,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,65437.725000000006,0.0,0.0,65437.725000000006,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2028,low,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,47077.5,15138.977973568217,0.0,62216.47797356822,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2028,low,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,47077.5,0.0,0.0,47077.5,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2028,medium,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,64653.100000000006,15138.977973568217,0.0,79792.07797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2028,medium,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,64653.100000000006,0.0,0.0,64653.100000000006,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2028,high,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,74382.45000000001,15138.977973568217,0.0,89521.42797356824,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2028,high,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,74382.45000000001,0.0,0.0,74382.45000000001,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2029,low,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,48646.75,15138.977973568217,0.0,63785.72797356822,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2029,low,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,48646.75,0.0,0.0,48646.75,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2029,medium,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,71871.65000000001,15138.977973568217,0.0,87010.62797356822,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2029,medium,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,71871.65000000001,0.0,0.0,71871.65000000001,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2029,high,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,83327.175,15138.977973568217,0.0,98466.15297356821,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2029,high,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,83327.175,0.0,0.0,83327.175,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2030,low,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,50216.0,52982.27524229074,0.0,103198.27524229075,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2030,low,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,50216.0,0.0,0.0,50216.0,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2030,medium,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,79090.20000000001,52982.27524229074,0.0,132072.47524229076,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2030,medium,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,79090.20000000001,0.0,0.0,79090.20000000001,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2030,high,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,conventional,92271.90000000001,52982.27524229074,0.0,145254.17524229074,0.0
halifax_hamburg,VLGC/VLAC,suez,lower,2030,high,n/a,2962,9.5,1236.1,58.51,1255.4,59.42,n/a,green_rfnbo,92271.90000000001,0.0,0.0,92271.90000000001,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2026,low,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,38395.0,13228.757709251044,0.0,51623.75770925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2026,low,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,38395.0,0.0,0.0,38395.0,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2026,medium,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,43880.0,13228.757709251044,0.0,57108.75770925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2026,medium,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,43880.0,0.0,0.0,43880.0,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2026,high,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,49365.0,13228.757709251044,0.0,62593.75770925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2026,high,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,49365.0,0.0,0.0,49365.0,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2027,low,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,39766.25,13228.757709251044,0.0,52995.00770925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2027,low,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,39766.25,0.0,0.0,39766.25,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2027,medium,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,50187.75,13228.757709251044,0.0,63416.50770925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2027,medium,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,50187.75,0.0,0.0,50187.75,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2027,high,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,57181.125,13228.757709251044,0.0,70409.88270925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2027,high,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,57181.125,0.0,0.0,57181.125,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2028,low,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,41137.5,13228.757709251044,0.0,54366.25770925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2028,low,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,41137.5,0.0,0.0,41137.5,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2028,medium,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,56495.5,13228.757709251044,0.0,69724.25770925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2028,medium,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,56495.5,0.0,0.0,56495.5,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2028,high,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,64997.25,13228.757709251044,0.0,78226.00770925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2028,high,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,64997.25,0.0,0.0,64997.25,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2029,low,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,42508.75,13228.757709251044,0.0,55737.50770925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2029,low,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,42508.75,0.0,0.0,42508.75,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2029,medium,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,62803.25,13228.757709251044,0.0,76032.00770925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2029,medium,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,62803.25,0.0,0.0,62803.25,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2029,high,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,72813.375,13228.757709251044,0.0,86042.13270925105,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2029,high,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,72813.375,0.0,0.0,72813.375,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2030,low,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,43880.0,46297.02766519824,0.0,90177.02766519824,0.0
