corridor,vessel_set,route_scenario,year,price_scenario,parameter,direction,delta_pct,base_cost_per_voyage,new_cost_per_voyage,abs_change,pct_change
halifax_hamburg,gas_carrier,suez,2026,medium,main_engine_power_kw,up,20.0,56436.75770925105,67779.62995594706,11342.872246696017,20.098376850654386
halifax_hamburg,gas_carrier,suez,2026,medium,main_engine_power_kw,down,-20.0,56436.75770925105,45093.885462555016,-11342.872246696032,-20.09837685065441
halifax_hamburg,gas_carrier,suez,2026,medium,service_speed_knots,up,20.0,56436.75770925105,46918.237885462506,-9518.519823788542,-16.865816198771952
halifax_hamburg,gas_carrier,suez,2026,medium,service_speed_knots,down,-20.0,56436.75770925105,70710.53744493384,14273.779735682794,25.29163671878169
halifax_hamburg,gas_carrier,suez,2026,medium,engine_load_fraction,up,20.0,56436.75770925105,67779.62995594706,11342.872246696017,20.098376850654386
halifax_hamburg,gas_carrier,suez,2026,medium,engine_load_fraction,down,-20.0,56436.75770925105,45093.885462555016,-11342.872246696032,-20.09837685065441
halifax_hamburg,gas_carrier,suez,2026,medium,sfoc_g_per_kwh,up,20.0,56436.75770925105,67779.62995594706,11342.872246696017,20.098376850654386
halifax_hamburg,gas_carrier,suez,2026,medium,sfoc_g_per_kwh,down,-20.0,56436.75770925105,45093.885462555016,-11342.872246696032,-20.09837685065441
halifax_hamburg,gas_carrier,suez,2026,medium,vlsfo_carbon_factor,up,20.0,56436.75770925105,65076.75770925105,8640.0,15.309171452604092
halifax_hamburg,gas_carrier,suez,2026,medium,vlsfo_carbon_factor,down,-20.0,56436.75770925105,47792.75770925105,-8644.0,-15.316259031980296
halifax_hamburg,gas_carrier,suez,2026,medium,carbon_price,up,20.0,56436.75770925105,67724.10925110125,11287.351541850207,19.999999999999993
halifax_hamburg,gas_carrier,suez,2026,medium,carbon_price,down,-20.0,56436.75770925105,45149.40616740084,-11287.351541850207,-19.999999999999993
halifax_hamburg,gas_carrier,suez,2026,medium,port_days,up,20.0,56436.75770925105,56436.75770925105,0.0,0.0
halifax_hamburg,gas_carrier,suez,2026,medium,port_days,down,-20.0,56436.75770925105,56436.75770925105,0.0,0.0
halifax_hamburg,gas_carrier,suez,2026,medium,fueleu_actual_intensity_gco2e_mj,up,20.0,56436.75770925105,191351.96475770918,134915.20704845813,239.05555975329
halifax_hamburg,gas_carrier,suez,2026,medium,fueleu_actual_intensity_gco2e_mj,down,-20.0,56436.75770925105,43208.0,-13228.757709251047,-23.43996757822713
ningbo_felixstowe,gas_carrier,suez,2026,medium,main_engine_power_kw,up,20.0,2890.9790999999996,3475.0053,584.0262000000002,20.201674927362856
ningbo_felixstowe,gas_carrier,suez,2026,medium,main_engine_power_kw,down,-20.0,2890.9790999999996,2311.8938999999996,-579.0852,-20.030763971970604
ningbo_felixstowe,gas_carrier,suez,2026,medium,service_speed_knots,up,20.0,2890.9790999999996,2890.9790999999996,0.0,0.0
ningbo_felixstowe,gas_carrier,suez,2026,medium,service_speed_knots,down,-20.0,2890.9790999999996,2890.9790999999996,0.0,0.0
ningbo_felixstowe,gas_carrier,suez,2026,medium,engine_load_fraction,up,20.0,2890.9790999999996,3475.0053,584.0262000000002,20.201674927362856
ningbo_felixstowe,gas_carrier,suez,2026,medium,engine_load_fraction,down,-20.0,2890.9790999999996,2311.8938999999996,-579.0852,-20.030763971970604
ningbo_felixstowe,gas_carrier,suez,2026,medium,sfoc_g_per_kwh,up,20.0,2890.9790999999996,3475.0053,584.0262000000002,20.201674927362856
ningbo_felixstowe,gas_carrier,suez,2026,medium,sfoc_g_per_kwh,down,-20.0,2890.9790999999996,2311.8938999999996,-579.0852,-20.030763971970604
ningbo_felixstowe,gas_carrier,suez,2026,medium,vlsfo_carbon_factor,up,20.0,2890.9790999999996,3469.5701999999997,578.5911000000001,20.013672876431386
ningbo_felixstowe,gas_carrier,suez,2026,medium,vlsfo_carbon_factor,down,-20.0,2890.9790999999996,2312.8821,-578.0969999999998,-19.99658178089215
ningbo_felixstowe,gas_carrier,suez,2026,medium,carbon_price,up,20.0,2890.9790999999996,3469.1749199999995,578.1958199999999,20.0
ningbo_felixstowe,gas_carrier,suez,2026,medium,carbon_price,down,-20.0,2890.9790999999996,2312.7832799999996,-578.1958199999999,-20.0
ningbo_felixstowe,gas_carrier,suez,2026,medium,port_days,up,20.0,2890.9790999999996,3468.582,577.6029000000003,19.979490685352946
ningbo_felixstowe,gas_carrier,suez,2026,medium,port_days,down,-20.0,2890.9790999999996,2313.3761999999997,-577.6028999999999,-19.97949068535293
ningbo_felixstowe,gas_carrier,suez,2026,medium,fueleu_actual_intensity_gco2e_mj,up,20.0,2890.9790999999996,2890.9790999999996,0.0,0.0
ningbo_felixstowe,gas_carrier,suez,2026,medium,fueleu_actual_intensity_gco2e_mj,down,-20.0,2890.9790999999996,2890.9790999999996,0.0,0.0
