product,year,corridor,regime,pathways_available,baseline_emissions_tco2e,cost_per_tonne_eur,shadow_price_eur_per_tco2e,low_carbon_share,allocation_is_determined,cheapest_swap_from,cheapest_swap_to,swap_saves_tco2e_per_tonne,swap_costs_eur_per_tonne,shadow_price_production_only_eur_per_tco2e,requested_cut,applied_cut,cut_was_limited,price_scenario,uk_price_variant,demand_tonnes
hydrogen,2026,halifax_hamburg,EU,3,3425000.0,1176.98,293.75,0.6503,False,grey_smr,blue_smr_ccs,8.05,42.35,338.61,0.3,0.3,False,medium,frozen,500000.0
hydrogen,2026,ningbo_felixstowe,UK,3,7283000.0,1999.31,302.41,0.6906,False,coal_gasification,blue_ccs,13.81,553.0,302.41,0.3,0.3,False,medium,frozen,500000.0
hydrogen,2027,halifax_hamburg,EU,3,2620000.0,1523.82,286.27,0.7778,False,grey_smr,blue_smr_ccs,8.05,-23.81,338.61,0.3,0.3,False,medium,frozen,500000.0
hydrogen,2027,ningbo_felixstowe,UK,3,7283000.0,2091.81,293.34,0.6906,False,coal_gasification,blue_ccs,13.81,427.71,302.41,0.3,0.3,False,medium,frozen,500000.0
hydrogen,2028,halifax_hamburg,EU,3,2620000.0,1543.16,276.97,0.7778,False,grey_smr,blue_smr_ccs,8.05,-106.03,338.61,0.3,0.3,False,medium,frozen,500000.0
hydrogen,2028,ningbo_felixstowe,UK,3,7283000.0,2104.58,292.09,0.6906,False,coal_gasification,blue_ccs,13.81,410.42,302.41,0.3,0.3,False,medium,frozen,500000.0
hydrogen,2029,halifax_hamburg,EU,3,2620000.0,1573.07,262.29,0.7778,False,grey_smr,blue_smr_ccs,8.05,-235.76,338.61,0.3,0.3,False,medium,frozen,500000.0
hydrogen,2029,ningbo_felixstowe,UK,3,7283000.0,2130.12,289.58,0.6906,False,coal_gasification,blue_ccs,13.81,375.83,302.41,0.3,0.3,False,medium,frozen,500000.0
hydrogen,2030,halifax_hamburg,EU,3,2620000.0,1628.96,237.27,0.7778,False,grey_smr,blue_smr_ccs,8.05,-456.94,338.61,0.3,0.3,False,medium,frozen,500000.0
hydrogen,2030,ningbo_felixstowe,UK,3,7283000.0,2193.96,283.32,0.6906,False,coal_gasification,blue_ccs,13.81,289.36,302.41,0.3,0.3,False,medium,frozen,500000.0
ammonia,2026,halifax_hamburg,EU,2,778000.0,758.03,273.7,0.6,True,grey_smr,green_electrolysis,1.56,426.97,308.33,0.3,0.2005,True,medium,frozen,500000.0
ammonia,2026,ningbo_felixstowe,UK,2,2008600.0,584.97,57.31,0.5511,True,coal_gasification,green_electrolysis,5.33,305.6,57.31,0.3,0.2005,True,medium,frozen,500000.0
ammonia,2027,halifax_hamburg,EU,2,778000.0,762.48,266.74,0.6,True,grey_smr,green_electrolysis,1.56,416.12,308.33,0.3,0.2005,True,medium,frozen,500000.0
ammonia,2027,ningbo_felixstowe,UK,2,2008600.0,614.11,48.24,0.5511,True,coal_gasification,green_electrolysis,5.33,257.23,57.31,0.3,0.2005,True,medium,frozen,500000.0
ammonia,2028,halifax_hamburg,EU,2,778000.0,768.81,256.78,0.6,True,grey_smr,green_electrolysis,1.56,400.58,308.33,0.3,0.2005,True,medium,frozen,500000.0
ammonia,2028,ningbo_felixstowe,UK,2,2008600.0,618.13,46.99,0.5511,True,coal_gasification,green_electrolysis,5.33,250.55,57.31,0.3,0.2005,True,medium,frozen,500000.0
ammonia,2029,halifax_hamburg,EU,2,778000.0,780.83,237.71,0.6,True,grey_smr,green_electrolysis,1.56,370.82,308.33,0.3,0.2005,True,medium,frozen,500000.0
ammonia,2029,ningbo_felixstowe,UK,2,2008600.0,626.17,44.49,0.5511,True,coal_gasification,green_electrolysis,5.33,237.2,57.31,0.3,0.2005,True,medium,frozen,500000.0
ammonia,2030,halifax_hamburg,EU,2,778000.0,804.62,200.7,0.6,True,grey_smr,green_electrolysis,1.56,313.1,308.33,0.3,0.2005,True,medium,frozen,500000.0
ammonia,2030,ningbo_felixstowe,UK,2,2008600.0,646.28,38.22,0.5511,True,coal_gasification,green_electrolysis,5.33,203.81,57.31,0.3,0.2005,True,medium,frozen,500000.0
